BELLFIELD (GREATER MELBOURNE);3081;886
BELLS BEACH;3228;95
BELMONT;3216;8109
BEMM RIVER;3889;195
BENA;3946;187
BENALLA;3672;6915
BENAMBRA;3900;657
BENAYEO;3319;99
BEND OF ISLANDS;3097;133
BENDIGO;3550;5701
BENDOC;3888;401
BENGWORDEN;3875;103
BENJEROOP;3579;71
BENLOCH;3435;116
BENNISON;3960;31
BENTLEIGH;3204;8874
BENTLEIGH EAST;3165;13432
BENWERRIN;3235;57
BEREMBOKE;3342;114
BERRIMAL;3518;67
BERRINGA;3351;212
BERRINGAMA;3691;115
BERRIWILLOCK;3531;234
BERRYBANK;3323;65
BERRYS CREEK;3953;102
BERWICK;3806;19465
BESSIEBELLE;3304;224
BET BET;3472;168
BETE BOLONG;3888;100
BETE BOLONG NORTH;3888;50
BETHANGA;3691;402
BETLEY;3472;84
BEULAH;3395;570
BEVERFORD;3590;168
BEVERIDGE;3753;1077
BIG DESERT;3490;31
BIG HILL (BENDIGO);3555;151
BIG HILL (LORNE);3231;44
BIG PATS CREEK;3799;50
BIGGARA;3707;77
BILLABONG;3858;6
BIMBOURIE;3533;25
BINDI;3896;110
BINGINWARRI;3966;150
BINGO MUNJIE;3898;14
BIRCHIP;3483;574
BIRCHIP WEST;3483;27
BIRDWOODTON;3505;337
BIRREGURRA;3242;675
BITTERN;3918;1794
BLACK HILL;3350;1161
BLACK RANGE;3381;157
BLACK ROCK;3193;3898
BLACKBURN;3130;8240
BLACKBURN NORTH;3130;3415
BLACKBURN SOUTH;3130;5064
BLACKHEATH;3401;44
BLACKWARRY;3844;47
BLACKWOOD;3458;519
BLAIRGOWRIE;3942;4138
BLAKEVILLE;3342;53
BLAMPIED;3364;159
BLIND BIGHT;3980;505
BLOWHARD;3352;69
BO PEEP;3351;25
BOBINAWARRAH;3678;96
BOCHARA;3301;75
BOGONG;3699;68
BOHO;3669;119
BOHO SOUTH;3669;99
BOIGBEAT;3531;41
BOINKA;3490;119
BOISDALE;3860;240
BOLANGUM;3387;9
BOLINDA;3432;104
BOLTON;3546;58
BOLWARRA;3305;371
BOLWARRAH;3352;62
BONA VISTA;3820;59
BONANG;3888;220
BONBEACH;3196;3647
BONEGILLA;3691;205
BONEO;3939;241
BONN;3561;68
BONNIE DOON;3720;1027
BONSHAW;3352;83
BOOKAAR;3260;121
BOOLA;3825;20
BOOLARONG;3960;17
BOOLARRA;3870;643
BOOLARRA SOUTH;3870;111
BOOLE POOLE;3880;73
BOOLITE;3392;73
BOOMAHNOOMOONAH;3728;31
BOONAH;3235;27
BOORCAN;3265;93
BOORHAMAN;3678;131
BOORHAMAN EAST;3678;32
BOORHAMAN NORTH;3685;48
BOOROLITE;3723;143
BOOROOL;3953;34
BOORT;3537;771
BOOSEY;3730;91
BORALMA;3682;53
BORNES HILL;3379;61
BORONIA;3155;12986
BORUNG;3518;128
BOSTOCKS CREEK;3260;62
BOTANIC RIDGE;3977;1456
BOUNDARY BEND;3599;114
BOWENVALE;3465;177
BOWEYA;3675;53
BOWEYA NORTH;3675;50
BOWMANS FOREST;3735;112
BOWSER;3678;19
BOX HILL;3128;8254
BOX HILL NORTH;3129;6277
BOX HILL SOUTH;3128;4513
BOXWOOD;3725;31
BRADFORD;3463;27
BRADVALE;3361;58
BRAESIDE;3195;1724
